Date,Open,High,Low,Close
02/16/2024,5049.50,5059.25,5012.75,5019.75
02/15/2024,5017.50,5051.75,5011.00,5046.50
02/14/2024,4974.25,5022.50,4968.75,5018.00
02/13/2024,5034.00,5040.00,4936.50,4971.25
02/12/2024,5042.50,5066.50,5031.50,5041.25
02/09/2024,5014.50,5048.50,5013.00,5044.00
02/08/2024,5015.75,5020.00,5003.75,5017.75
02/07/2024,4971.50,5020.00,4970.00,5015.25
02/06/2024,4959.50,4978.25,4954.50,4974.75
02/05/2024,4976.00,4980.75,4937.75,4962.00
02/02/2024,4952.75,4997.75,4925.75,4980.25
02/01/2024,4874.50,4963.75,4872.50,4928.50
01/31/2024,4930.25,4938.00,4866.00,4870.50
01/30/2024,4950.25,4957.25,4933.00,4951.00
01/29/2024,4908.75,4956.00,4901.75,4954.50
01/26/2024,4919.25,4934.25,4898.50,4916.25
01/25/2024,4899.50,4926.50,4893.25,4923.25
01/24/2024,4900.25,4933.25,4889.00,4898.00
01/23/2024,4881.75,4902.00,4874.25,4895.00
01/22/2024,4872.50,4898.25,4872.50,4881.00
01/19/2024,4811.25,4874.25,4808.50,4869.50
01/18/2024,4768.00,4817.00,4763.50,4811.25
01/17/2024,4799.75,4800.75,4746.25,4771.25
01/16/2024,4811.50,4815.75,4779.50,4798.50
01/12/2024,4811.25,4836.50,4791.50,4816.50
01/11/2024,4820.50,4838.00,4772.75,4815.50
01/10/2024,4790.75,4828.50,4786.00,4820.25
01/09/2024,4797.75,4804.00,4767.50,4792.75
01/08/2024,4735.75,4803.25,4715.25,4801.25
01/05/2024,4732.75,4760.25,4702.00,4734.75
01/04/2024,4750.00,4766.50,4727.00,4729.50
01/03/2024,4790.75,4790.75,4741.00,4746.50
01/02/2024,4818.00,4828.00,4765.50,4787.25
12/29/2023,4834.75,4841.00,4796.75,4820.00
12/28/2023,4834.50,4841.50,4828.00,4832.25
12/27/2023,4827.75,4836.50,4816.50,4833.50
12/26/2023,4800.25,4834.50,4800.25,4825.00
12/22/2023,4795.75,4821.75,4784.75,4805.25
12/21/2023,4751.00,4798.25,4751.00,4796.75
12/20/2023,4818.50,4830.75,4743.25,4749.75
12/19/2023,4790.50,4821.50,4787.75,4820.25
12/18/2023,4770.50,4802.25,4769.50,4793.00
12/15/2023,4767.75,4789.00,4757.25,4768.00
12/14/2023,4760.75,4791.75,4746.25,4774.00
12/13/2023,4700.50,4764.25,4696.75,4760.75
12/12/2023,4677.75,4701.75,4662.25,4697.25
12/11/2023,4660.75,4679.50,4652.00,4678.50
12/08/2023,4586.50,4613.75,4561.75,4607.50
12/07/2023,4556.00,4596.00,4548.75,4589.50
12/06/2023,4573.25,4598.50,4552.00,4556.00
12/05/2023,4573.00,4585.50,4555.50,4575.00
12/04/2023,4603.25,4604.50,4553.50,4576.50
12/01/2023,4571.75,4607.75,4562.50,4600.75
11/30/2023,4562.25,4579.50,4544.75,4576.75
11/29/2023,4564.00,4597.00,4555.50,4559.25
11/28/2023,4561.50,4577.25,4547.00,4563.00
11/27/2023,4568.50,4570.00,4552.00,4561.00
11/24/2023,4572.00,4574.00,4562.75,4568.25
11/22/2023,4547.75,4580.50,4543.00,4567.25
11/21/2023,4561.75,4567.00,4536.75,4551.25
11/20/2023,4526.75,4571.00,4520.00,4562.25
11/17/2023,4527.75,4539.50,4512.75,4527.50
11/16/2023,4514.25,4529.50,4501.75,4523.25
11/15/2023,4515.50,4541.25,4510.75,4519.25
11/14/2023,4427.25,4524.25,4420.25,4511.00
11/13/2023,4425.75,4436.75,4407.25,4425.25
11/10/2023,4364.50,4435.50,4354.25,4430.50
11/09/2023,4393.25,4413.00,4357.75,4362.25
11/08/2023,4397.50,4407.75,4375.00,4399.50
11/07/2023,4380.00,4403.25,4366.00,4396.00
11/06/2023,4379.25,4389.50,4364.25,4384.25
11/03/2023,4327.50,4391.75,4325.50,4376.00
11/02/2023,4258.50,4339.75,4257.75,4335.75
11/01/2023,4205.00,4264.75,4191.25,4256.00
10/31/2023,4184.25,4215.00,4166.75,4212.25
10/30/2023,4148.00,4197.50,4143.50,4185.75
10/27/2023,4167.00,4185.00,4122.25,4137.75
