Date,Open,High,Low,Close
02/16/2024,78.11,79.35,77.22,79.19
02/15/2024,76.6,78.44,75.78,78.03
02/14/2024,77.81,78.77,76.38,76.64
02/13/2024,77.03,78.47,76.87,77.87
02/12/2024,76.6,77.09,75.54,76.92
02/09/2024,76.42,77.29,75.93,76.84
02/08/2024,74.08,76.59,73.56,76.22
02/07/2024,73.5,74.22,73.23,73.86
02/06/2024,72.76,73.82,72.38,73.31
02/05/2024,72.75,73.28,71.41,72.78
02/02/2024,73.91,74.52,71.79,72.28
02/01/2024,75.96,76.95,73.7,73.82
01/31/2024,77.84,78.11,75.52,75.85
01/30/2024,77.02,78.14,75.85,77.82
01/29/2024,78.9,79.29,76.41,76.78
01/26/2024,77.15,78.26,76.06,78.01
01/25/2024,75.3,77.51,75.16,77.36
01/24/2024,74.57,75.83,73.94,75.09
01/23/2024,74.68,75.25,73.41,74.37
01/22/2024,73.41,75.79,72.85,75.19
01/19/2024,74.08,74.91,73.19,73.41
01/18/2024,72.78,74.38,72.18,74.08
01/17/2024,72,72.95,70.5,72.56
01/16/2024,72.82,73.56,71.71,72.4
01/12/2024,73.01,75.25,72.36,72.68
01/11/2024,71.33,73.81,71.17,72.02
01/10/2024,72.17,73.59,71.01,71.37
01/09/2024,70.91,72.93,70.47,72.24
01/08/2024,73.51,73.95,70.13,70.77
01/05/2024,72.4,74.24,72.21,73.81
01/04/2024,73.04,74,71.06,72.19
01/03/2024,70.5,73.23,69.28,72.7
01/02/2024,71.71,73.64,70.06,70.38
12/29/2023,71.99,72.62,71.25,71.65
12/28/2023,73.8,74.4,71.72,71.77
12/27/2023,75.32,75.66,73.77,74.11
12/26/2023,73.56,76.18,73.13,75.57
12/22/2023,73.91,74.98,73.39,73.56
12/21/2023,73.81,74.58,72.44,73.89
12/20/2023,74.06,75.37,73.6,74.22
12/19/2023,72.48,74.02,71.84,73.44
12/18/2023,71.68,74.26,70.64,72.47
12/15/2023,71.61,72.22,70.3,71.43
12/14/2023,69.85,72.46,69.54,71.58
12/13/2023,68.73,69.89,67.71,69.47
12/12/2023,71.43,71.96,68.22,68.61
12/11/2023,71.15,71.81,70.35,71.32
12/08/2023,69.76,71.63,69.5,71.23
12/07/2023,69.28,70.48,68.8,69.34
12/06/2023,72.1,72.6,69.11,69.38
12/05/2023,73.3,74.12,72.02,72.32
12/04/2023,74.58,75.03,72.63,73.04
12/01/2023,75.59,76.76,73.93,74.07
11/30/2023,77.75,79.6,75.05,75.96
